therm_data_temp;therm_data_rh;therm_data_co2;therm_data_date;therm_data_hour
7.3;90.8;0;2026-02-08;22:06:06
7.2;90.5;0;2026-02-08;22:21:06
7.1;90.5;0;2026-02-08;22:36:06
7;90.5;0;2026-02-08;22:51:06
6.6;90.6;0;2026-02-08;23:06:06
6.4;90.5;0;2026-02-08;23:21:06
6.2;90.5;0;2026-02-08;23:36:06
6.1;90.3;0;2026-02-08;23:51:06
5.8;90.2;0;2026-02-09;00:06:06
5.8;90.1;0;2026-02-09;00:21:06
6;89.9;0;2026-02-09;00:36:06
6.1;89.9;0;2026-02-09;00:51:06
6.1;90.1;0;2026-02-09;01:06:06
6.2;90.1;0;2026-02-09;01:21:06
6.3;90.1;0;2026-02-09;01:36:06
6.4;90.1;0;2026-02-09;01:51:06
6.5;90.4;0;2026-02-09;02:06:06
6.5;90.5;0;2026-02-09;02:21:06
6.6;90.5;0;2026-02-09;02:36:06
6.8;90.5;0;2026-02-09;02:51:06
6.9;90.5;0;2026-02-09;03:06:06
6.8;91;0;2026-02-09;03:21:06
6.4;91.3;0;2026-02-09;03:36:06
6.2;91.4;0;2026-02-09;03:51:06
6;91.2;0;2026-02-09;04:06:06
6.3;90.8;0;2026-02-09;04:21:06
6.4;90.9;0;2026-02-09;04:36:06
6.2;91.3;0;2026-02-09;04:51:06
6.2;91.4;0;2026-02-09;05:06:06
6.3;91.2;0;2026-02-09;05:21:06
6.4;91.2;0;2026-02-09;05:36:06
6.3;91.3;0;2026-02-09;05:51:06
6;91.5;0;2026-02-09;06:06:06
5.8;91.7;0;2026-02-09;06:21:06
5.5;91.6;0;2026-02-09;06:36:06
5.4;91.5;0;2026-02-09;06:51:06
5.4;91.4;0;2026-02-09;07:06:06
5.5;91;0;2026-02-09;07:21:06
6.3;89.3;0;2026-02-09;07:36:06
7.1;88;0;2026-02-09;07:51:06
7.6;86.7;0;2026-02-09;08:06:06
8.1;85.7;0;2026-02-09;08:21:06
8.5;84.7;0;2026-02-09;08:36:06
9.6;82.1;0;2026-02-09;08:51:06
10.5;79.9;0;2026-02-09;09:06:06
12.3;74.8;0;2026-02-09;09:21:06
16.2;64.1;0;2026-02-09;09:36:06
16.8;63;0;2026-02-09;09:51:06
14.5;69.7;0;2026-02-09;10:06:06
15.8;67;0;2026-02-09;10:21:06
20.6;54.9;0;2026-02-09;10:36:06
22.7;51.1;0;2026-02-09;10:51:06
24;49.1;0;2026-02-09;11:06:06
31.8;36.6;0;2026-02-09;11:21:06
26.4;45.7;0;2026-02-09;11:36:06
21.8;55.6;0;2026-02-09;11:51:06
20.2;59.7;0;2026-02-09;12:06:06
20;60.4;0;2026-02-09;12:21:06
18.3;65.1;0;2026-02-09;12:36:06
18.9;63.8;0;2026-02-09;12:51:06
20.1;60.9;0;2026-02-09;13:06:06
23.3;53.9;0;2026-02-09;13:21:06
27.4;46.2;0;2026-02-09;13:36:06
25.2;50.2;0;2026-02-09;13:51:06
30.4;41.6;0;2026-02-09;14:06:06
27.4;47;0;2026-02-09;14:21:06
23.7;54.9;0;2026-02-09;14:36:06
22.1;58.5;0;2026-02-09;14:51:06
19.1;66.3;0;2026-02-09;15:06:06
18;69.3;0;2026-02-09;15:21:06
16.5;73.3;0;2026-02-09;15:36:06
15.1;77;0;2026-02-09;15:51:06
14.7;78.1;0;2026-02-09;16:06:06
14.6;78.3;0;2026-02-09;16:21:06
13.8;80.4;0;2026-02-09;16:36:06
13.2;82.6;0;2026-02-09;16:51:06
12.8;84.3;0;2026-02-09;17:06:06
12.5;85.9;0;2026-02-09;17:21:06
12.3;86.6;0;2026-02-09;17:36:06
12.1;88.1;0;2026-02-09;17:51:06
12;89.2;0;2026-02-09;18:06:06
11.8;89.8;0;2026-02-09;18:21:06
11.7;90.3;0;2026-02-09;18:36:06
11.7;90.8;0;2026-02-09;18:51:06
11.6;91.1;0;2026-02-09;19:06:06
11.5;91.5;0;2026-02-09;19:21:06
11.5;91.7;0;2026-02-09;19:36:06
